Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
GAIL,EQ,15-May-17,409.2,413.05,415.25,410,413.8,414,412.83,1077551,444848781.2,22153,459059,42.6
GAIL,EQ,16-May-17,414,415.8,416,410.25,411,411.4,412.85,2434834,1005216065,46472,1771251,72.75
GAIL,EQ,17-May-17,411.4,411.5,412.9,405.6,408.5,408.3,408.42,2002105,817707001,48972,1405319,70.19
GAIL,EQ,18-May-17,408.3,406.35,409,401.5,403,404.75,407.03,2132140,867845090.3,39137,1405640,65.93
GAIL,EQ,19-May-17,404.75,404,406.35,396,401.35,401.05,400.31,2847835,1140022072,64928,1922275,67.5
GAIL,EQ,22-May-17,401.05,404.3,404.3,387.05,388.85,390.2,394.05,2356287,928506059.7,47455,982053,41.68
GAIL,EQ,23-May-17,390.2,380.1,386.45,365.5,380,380.35,374.7,9935103,3722635322,103859,4352691,43.81
GAIL,EQ,24-May-17,380.35,382,392.75,375.15,392,390.65,386.42,4051382,1565544720,67002,1782890,44.01
GAIL,EQ,25-May-17,390.65,392.55,403.95,391.9,396.8,401,399.79,7771785,3107071323,92446,5353155,68.88
GAIL,EQ,26-May-17,401,399.7,403,398,401.7,401.75,400.61,2024741,811127274.1,53478,1524152,75.28
GAIL,EQ,29-May-17,401.75,400,405.75,395.15,400.5,401.15,399.97,2131677,852614063.9,21058,1256936,58.96
GAIL,EQ,30-May-17,401.15,398.15,408.55,398,406.4,405.45,405.55,2062918,836615924.1,44832,1255144,60.84
GAIL,EQ,31-May-17,405.45,406.4,417.8,406.4,413,414,413.02,7712717,3185518283,96928,6246802,80.99
GAIL,EQ,01-Jun-17,414,414,415,407.45,410.5,410.35,410.3,1704028,699162139.6,29092,1175295,68.97
GAIL,EQ,02-Jun-17,410.35,411.25,413.4,399.5,401.6,402.35,403.17,2592907,1045393183,59428,1641469,63.31
GAIL,EQ,05-Jun-17,402.35,402.1,404.8,397.05,397.9,398,400.73,1600250,641273683,24436,853305,53.32
GAIL,EQ,06-Jun-17,398,398.35,404,394.25,398.85,398.9,399.58,1634672,653178079.3,31929,750577,45.92
